Position,Track Name,Artist,date,region,spotify_id
1,Die Very Rough,Mario Judah,2020-11-01,us,1AyrLa7PkFQvt1A6XQY3ff
2,E-GIRLS ARE RUINING MY LIFE!,CORPSE,2020-11-01,us,7bCfHiRcfUjG0YVVNUL7Ve
3,Drip Like ME,Kenndog,2020-11-01,us,5lNsNowjCKqgafSWE7Ie2Z
4,Monster Mash,"Bobby ""Boris"" Pickett",2020-11-01,us,0xxZY5C9xxij3D1HkzbnfC
5,Whoopty,CJ,2020-11-01,us,1RSzyxqtIO4yX3EyiV4zT5
6,Touch You,遠野高志,2020-11-01,us,6qWEpnyU43Bcrx3vfbGuVm
7,HIT EM WHERE IT HURTS,PawPaw Rod,2020-11-01,us,63e35wfL6GMUp0boIvNBhw
8,Cat Girls Are Ruining My Life!,CORPSE,2020-11-01,us,4SPBwOTXgku4QvmRtMEGfW
9,Deep End,Fousheé,2020-11-01,us,6HlE9t71z9DjGi7KqSyEpA
10,Dirt Road,Kidd G,2020-11-01,us,3azaE9S4YBYOuKmZu2TZrV
11,Miss YOU!,CORPSE,2020-11-01,us,3pXVmZh293nWtqxildz9jf
12,"Spooky, Scary Skeletons - Undead Tombstone Remix",Andrew Gold,2020-11-01,us,1sUdq3kWa9dJXHu3eYOUll
13,This Is Halloween,The Citizens of Halloween,2020-11-01,us,0yURuYmnz9tl4K04e5Y6aQ
14,moment,lildeath,2020-11-01,us,2JKIYl8KaAMzOR1dIzEO5f
15,The Crypt Jam,The Crypt Keeper,2020-11-01,us,21zjT55VHzq3PHc2CQlAeJ
16,Astronaut In The Ocean,Masked Wolf,2020-11-01,us,0jdso14vaFnpRazMLEZovF
17,Ghostbusters,Ray Parker Jr.,2020-11-01,us,6thXB4RmajS4oZPNiBAKy0
18,Put Your Records On,Ritt Momney,2020-11-01,us,6AGOKlMZWLCaEJGnaROtF9
19,White Tee,CORPSE,2020-11-01,us,3qdRwIwWa5nVZnNp43uYrx
20,Halloween Theme - Main Title,John Carpenter,2020-11-01,us,7swocJUCUWTCiRUAU9oerC
21,Never Satisfied,CORPSE,2020-11-01,us,04bEhujOxzNrXeideMtFuR
22,Papi Chulo,Octavian,2020-11-01,us,6Juv5N0dNU1imms9c9u1dA
23,Moonwalking in Calabasas (feat. Blueface) - Remix,DDG,2020-11-01,us,7o4gBbTM6UBLkOYPw9xMCz
24,Time Warp,Little Nell,2020-11-01,us,4WFeJTXNHIS2wURtwlAkhu
25,Demons and Monsters,347aidan,2020-11-01,us,6pgSQuEY2hJhRkC4YpZfJQ
26,I Put a Spell On You,Screamin' Jay Hawkins,2020-11-01,us,3sLhMSePzxSrmxluIqeoAZ
27,"Coconut Mall (From ""Mario Kart Wii"")",Arcade Player,2020-11-01,us,1SOTqkhpIWoLX1AS9Y2RpU
28,The Purple People Eater,Sheb Wooley,2020-11-01,us,0WkZQPNC0c7yrsMX1arVAd
29,Throat Baby (Go Baby),BRS Kash,2020-11-01,us,31iqpzg1ZXLLgq0L5iIwLe
30,Onna Come Up,Lil Eazzyy,2020-11-01,us,3NxFTRr0692mbC5hD0nEZD
31,Pull Up,LMB DG,2020-11-01,us,6NwyHRfUVnUBUZW9W5McAZ
32,Gone Too Soon,Andrew Jannakos,2020-11-01,us,07mnxqYqssab1EEBynCuQ4
33,Daisy,Ashnikko,2020-11-01,us,0AUvWawuP0ibk4SQ3sIZjk
34,A Nightmare on My Street,DJ Jazzy Jeff & The Fresh Prince,2020-11-01,us,2aRjuScpka878tUWOsLYpQ
35,Calling All the Monsters,China Anne McClain,2020-11-01,us,0hnHoQbEQOL4YUZ4SO6xbe
36,Reveries,Ava Cerasoli,2020-11-01,us,2Wq70oxNy3i4KOW175fUs2
37,Sofia,Clairo,2020-11-01,us,7B3z0ySL9Rr0XvZEAjWZzM
38,夜に駆ける,YOASOBI,2020-11-01,us,3dPtXHP0oXQ4HCWHsOA9js
39,damn!,Jeris Johnson,2020-11-01,us,4JuYtPKJJk0HobzktzN4Qg
40,"Spooky, Scary Skeletons",Andrew Gold,2020-11-01,us,23V08GxMeaZNSf8Gy6KF6t
41,White Tee - Alternate Bass Boosted Version,CORPSE,2020-11-01,us,3AQdBQPDyHQpEauct5Fiu6
42,This is Halloween - Pop Version,Marilyn Manson,2020-11-01,us,2KUL1Ix9grxAWvIAft9EWL
43,Судно (Борис Рижий),Molchat Doma,2020-11-01,us,6DONTnamNDOJdO6DzCu71p
44,Levitating (feat. DaBaby),Dua Lipa,2020-11-01,us,6OqrJqDMu15AGJHJazg9Nr
45,Cabin Fever,CORPSE,2020-11-01,us,5cCpq6EJqI8dgz8FwE7gk3
46,I Put a Spell on You (In the Style of Hocus Pocus),PattyCake,2020-11-01,us,5U43AFyp6GyXm58h4uVt2L
47,THICK,DJ Chose,2020-11-01,us,0YYNIGKgAk34vZkV2NySie
48,Halloween - Mix-O-Lydian 1981,Misfits,2020-11-01,us,5QOvYYp7yRSY6LP7Vm48br
49,Goosebumps,HVME,2020-11-01,us,20McUFi8KCIVdNDLrkTDuZ
50,At My Worst,Pink Sweat$,2020-11-01,us,0ri0Han4IRJhzvERHOZTMr
1,E-GIRLS ARE RUINING MY LIFE!,CORPSE,2020-11-02,us,7bCfHiRcfUjG0YVVNUL7Ve
2,Die Very Rough,Mario Judah,2020-11-02,us,1AyrLa7PkFQvt1A6XQY3ff
3,Monster Mash,"Bobby ""Boris"" Pickett",2020-11-02,us,0xxZY5C9xxij3D1HkzbnfC
4,Touch You,遠野高志,2020-11-02,us,6qWEpnyU43Bcrx3vfbGuVm
